datetime_UTC,water_level_filtered
2022-01-01 00:00:00,-1.2246
2022-01-01 00:15:00,-1.0646
2022-01-01 00:30:00,-0.9046
2022-01-01 00:45:00,-0.7446
2022-01-01 01:00:00,-0.5846
2022-01-01 01:15:00,-0.3421
2022-01-01 01:30:00,-0.0996
2022-01-01 01:45:00,0.1429
2022-01-01 02:00:00,0.3854
2022-01-01 02:15:00,0.6179
2022-01-01 02:30:00,0.8504
2022-01-01 02:45:00,1.0829
2022-01-01 03:00:00,1.3154
2022-01-01 03:15:00,1.4479
2022-01-01 03:30:00,1.5804
2022-01-01 03:45:00,1.7129
2022-01-01 04:00:00,1.8454
2022-01-01 04:15:00,1.8554
2022-01-01 04:30:00,1.8654
2022-01-01 04:45:00,1.8754
2022-01-01 05:00:00,1.8854
2022-01-01 05:15:00,1.7929
2022-01-01 05:30:00,1.7004
2022-01-01 05:45:00,1.6079
2022-01-01 06:00:00,1.5154
2022-01-01 06:15:00,1.3404
2022-01-01 06:30:00,1.1654
2022-01-01 06:45:00,0.9904
2022-01-01 07:00:00,0.8154
2022-01-01 07:15:00,0.5929
2022-01-01 07:30:00,0.3704
2022-01-01 07:45:00,0.1479
2022-01-01 08:00:00,-0.0746
2022-01-01 08:15:00,-0.3046
2022-01-01 08:30:00,-0.5346
2022-01-01 08:45:00,-0.7646
2022-01-01 09:00:00,-0.9946
2022-01-01 09:15:00,-1.1746
2022-01-01 09:30:00,-1.3546
2022-01-01 09:45:00,-1.5346
2022-01-01 10:00:00,-1.7146
2022-01-01 10:15:00,-1.8096
2022-01-01 10:30:00,-1.9046
2022-01-01 10:45:00,-1.9996
2022-01-01 11:00:00,-2.0946
2022-01-01 11:15:00,-2.1071
2022-01-01 11:30:00,-2.1196
2022-01-01 11:45:00,-2.1321
2022-01-01 12:00:00,-2.1446
2022-01-01 12:15:00,-2.0571
2022-01-01 12:30:00,-1.9696
2022-01-01 12:45:00,-1.8821
2022-01-01 13:00:00,-1.7946
2022-01-01 13:15:00,-1.5596
2022-01-01 13:30:00,-1.3246
2022-01-01 13:45:00,-1.0896
2022-01-01 14:00:00,-0.8546
2022-01-01 14:15:00,-0.5446
2022-01-01 14:30:00,-0.2346
2022-01-01 14:45:00,0.0754
2022-01-01 15:00:00,0.3854
2022-01-01 15:15:00,0.6179
2022-01-01 15:30:00,0.8504
2022-01-01 15:45:00,1.0829
2022-01-01 16:00:00,1.3154
2022-01-01 16:15:00,1.4079
2022-01-01 16:30:00,1.5004
2022-01-01 16:45:00,1.5929
2022-01-01 17:00:00,1.6854
2022-01-01 17:15:00,1.6529
2022-01-01 17:30:00,1.6204
2022-01-01 17:45:00,1.5879
2022-01-01 18:00:00,1.5554
2022-01-01 18:15:00,1.4454
2022-01-01 18:30:00,1.3354
2022-01-01 18:45:00,1.2254
2022-01-01 19:00:00,1.1154
2022-01-01 19:15:00,0.9454
2022-01-01 19:30:00,0.7754
2022-01-01 19:45:00,0.6054
2022-01-01 20:00:00,0.4354
2022-01-01 20:15:00,0.2204
2022-01-01 20:30:00,0.0054
2022-01-01 20:45:00,-0.2096
2022-01-01 21:00:00,-0.4246
2022-01-01 21:15:00,-0.6196
2022-01-01 21:30:00,-0.8146
2022-01-01 21:45:00,-1.0096
2022-01-01 22:00:00,-1.2046
2022-01-01 22:15:00,-1.3271
2022-01-01 22:30:00,-1.4496
2022-01-01 22:45:00,-1.5721
2022-01-01 23:00:00,-1.6946
2022-01-01 23:15:00,-1.7096
2022-01-01 23:30:00,-1.7246
2022-01-01 23:45:00,-1.7396
2022-01-02 00:00:00,-1.7546
2022-01-02 00:15:00,-1.6371
2022-01-02 00:30:00,-1.5196
2022-01-02 00:45:00,-1.4021
2022-01-02 01:00:00,-1.2846
2022-01-02 01:15:00,-1.0196
2022-01-02 01:30:00,-0.7546
2022-01-02 01:45:00,-0.4896
2022-01-02 02:00:00,-0.2246
2022-01-02 02:15:00,0.1004
2022-01-02 02:30:00,0.4254
