datetime_UTC,u,v
2022-01-01 00:00:00,0.1671,0.8599
2022-01-01 00:10:00,0.1665,0.8896
2022-01-01 00:20:00,0.1728,0.8975
2022-01-01 00:30:00,0.1587,0.8818
2022-01-01 00:40:00,0.1727,0.8802
2022-01-01 00:50:00,0.1731,0.874
2022-01-01 01:00:00,0.124,0.8106
2022-01-01 01:10:00,0.112,0.777
2022-01-01 01:20:00,0.1237,0.7164
2022-01-01 01:30:00,0.1339,0.7156
2022-01-01 01:40:00,0.1231,0.6708
2022-01-01 01:50:00,0.1068,0.6523
2022-01-01 02:00:00,0.0544,0.6216
2022-01-01 02:10:00,0.0735,0.5904
2022-01-01 02:20:00,0.0556,0.5773
2022-01-01 02:30:00,0.0438,0.5222
2022-01-01 02:40:00,0.0691,0.5043
2022-01-01 02:50:00,0.048,0.4344
2022-01-01 03:00:00,0.0367,0.3953
2022-01-01 03:10:00,0.0482,0.4233
2022-01-01 03:20:00,0.0537,0.3822
2022-01-01 03:30:00,0.0193,0.2763
2022-01-01 03:40:00,0.0218,0.2219
2022-01-01 03:50:00,-0.0007,0.191
2022-01-01 04:00:00,-0.0058,0.0878
2022-01-01 04:10:00,-0.0321,0.0554
2022-01-01 04:20:00,0.0023,0.0289
2022-01-01 04:30:00,-0.0286,-0.009
2022-01-01 04:40:00,-0.1847,-0.0978
2022-01-01 04:50:00,-0.2964,-0.1067
2022-01-01 05:00:00,-0.2137,-0.1931
2022-01-01 05:10:00,-0.1481,-0.2893
2022-01-01 05:20:00,-0.1023,-0.4166
2022-01-01 05:30:00,-0.09,-0.5051
2022-01-01 05:40:00,-0.1121,-0.566
2022-01-01 05:50:00,-0.1507,-0.587
2022-01-01 06:00:00,-0.1896,-0.605
2022-01-01 06:10:00,-0.2375,-0.667
2022-01-01 06:20:00,-0.2629,-0.6606
2022-01-01 06:30:00,-0.2579,-0.6615
2022-01-01 06:40:00,-0.263,-0.6509
2022-01-01 06:50:00,-0.2687,-0.6518
2022-01-01 07:00:00,-0.2376,-0.6563
2022-01-01 07:10:00,-0.2574,-0.6885
2022-01-01 07:20:00,-0.2816,-0.7005
2022-01-01 07:30:00,-0.2822,-0.6916
2022-01-01 07:40:00,-0.2655,-0.6195
2022-01-01 07:50:00,-0.2416,-0.6463
2022-01-01 08:00:00,-0.1787,-0.6072
2022-01-01 08:10:00,-0.1536,-0.6161
2022-01-01 08:20:00,-0.1117,-0.5966
2022-01-01 08:30:00,-0.1101,-0.5664
2022-01-01 08:40:00,-0.144,-0.5608
2022-01-01 08:50:00,-0.1463,-0.5499
2022-01-01 09:00:00,-0.1538,-0.5093
2022-01-01 09:10:00,-0.1585,-0.4763
2022-01-01 09:20:00,-0.167,-0.4564
2022-01-01 09:30:00,-0.1787,-0.3977
2022-01-01 09:40:00,-0.1505,-0.3921
2022-01-01 09:50:00,-0.1506,-0.3824
2022-01-01 10:00:00,-0.1429,-0.3822
2022-01-01 10:10:00,-0.1253,-0.364
2022-01-01 10:20:00,-0.0974,-0.331
2022-01-01 10:30:00,-0.0847,-0.3034
2022-01-01 10:40:00,-0.0809,-0.246
2022-01-01 10:50:00,-0.0582,-0.1682
2022-01-01 11:00:00,-0.0561,-0.0992
2022-01-01 11:10:00,-0.0254,-0.0211
2022-01-01 11:20:00,-0.0395,0.108
2022-01-01 11:30:00,0.0039,0.226
2022-01-01 11:40:00,0.0727,0.3362
2022-01-01 11:50:00,0.1141,0.4611
2022-01-01 12:00:00,0.192,0.5737
2022-01-01 12:10:00,0.199,0.7127
2022-01-01 12:20:00,0.2231,0.7484
2022-01-01 12:30:00,0.2083,0.7941
2022-01-01 12:40:00,0.197,0.8813
2022-01-01 12:50:00,0.1707,0.8317
2022-01-01 13:00:00,0.1655,0.8358
2022-01-01 13:10:00,0.1475,0.8198
2022-01-01 13:20:00,0.1336,0.7817
2022-01-01 13:30:00,0.182,0.7698
2022-01-01 13:40:00,0.1437,0.7392
2022-01-01 13:50:00,0.0658,0.709
2022-01-01 14:00:00,0.0897,0.7003
2022-01-01 14:10:00,0.107,0.6604
2022-01-01 14:20:00,0.0991,0.6404
2022-01-01 14:30:00,0.0812,0.6086
2022-01-01 14:40:00,0.0661,0.5541
2022-01-01 14:50:00,0.054,0.5413
2022-01-01 15:00:00,0.0642,0.5301
2022-01-01 15:10:00,0.055,0.5151
2022-01-01 15:20:00,0.0367,0.4565
2022-01-01 15:30:00,0.0359,0.4275
2022-01-01 15:40:00,0.0382,0.37
2022-01-01 15:50:00,0.0442,0.2957
2022-01-01 16:00:00,0.0288,0.2996
2022-01-01 16:10:00,0.0242,0.2709
2022-01-01 16:20:00,0.0304,0.2108
2022-01-01 16:30:00,-0.0113,0.1134
2022-01-01 16:40:00,-0.0314,0.0659
2022-01-01 16:50:00,-0.0237,0.0335
2022-01-01 17:00:00,-0.055,-0.0417
2022-01-01 17:10:00,-0.0917,-0.0317
2022-01-01 17:20:00,-0.2289,-0.1101
2022-01-01 17:30:00,-0.1552,-0.1883
2022-01-01 17:40:00,-0.1021,-0.2821
2022-01-01 17:50:00,-0.057,-0.3909
2022-01-01 18:00:00,-0.0644,-0.5029
2022-01-01 18:10:00,-0.0955,-0.5254
2022-01-01 18:20:00,-0.1347,-0.5569
2022-01-01 18:30:00,-0.1395,-0.5949
2022-01-01 18:40:00,-0.2066,-0.6321
2022-01-01 18:50:00,-0.2362,-0.6706
2022-01-01 19:00:00,-0.2427,-0.7297
2022-01-01 19:10:00,-0.2688,-0.7077
2022-01-01 19:20:00,-0.274,-0.6885
2022-01-01 19:30:00,-0.2731,-0.6899
2022-01-01 19:40:00,-0.2348,-0.6669
2022-01-01 19:50:00,-0.2267,-0.6474
2022-01-01 20:00:00,-0.2704,-0.6727
2022-01-01 20:10:00,-0.3083,-0.699
2022-01-01 20:20:00,-0.2687,-0.655
2022-01-01 20:30:00,-0.2451,-0.616
2022-01-01 20:40:00,-0.2305,-0.6067
2022-01-01 20:50:00,-0.14,-0.6112
2022-01-01 21:00:00,-0.1369,-0.5883
2022-01-01 21:10:00,-0.1251,-0.5786
2022-01-01 21:20:00,-0.1256,-0.5396
2022-01-01 21:30:00,-0.118,-0.4992
2022-01-01 21:40:00,-0.1291,-0.5027
2022-01-01 21:50:00,-0.0863,-0.4701
2022-01-01 22:00:00,-0.0691,-0.4315
2022-01-01 22:10:00,-0.139,-0.4059
2022-01-01 22:20:00,-0.1221,-0.4175
2022-01-01 22:30:00,-0.0989,-0.3742
2022-01-01 22:40:00,-0.057,-0.3443
2022-01-01 22:50:00,-0.0678,-0.3035
2022-01-01 23:00:00,-0.074,-0.2513
2022-01-01 23:10:00,-0.038,-0.179
2022-01-01 23:20:00,-0.0096,-0.0804
2022-01-01 23:30:00,-0.0235,-0.0419
2022-01-01 23:40:00,0.0169,0.0628
2022-01-01 23:50:00,0.0477,0.1401
2022-01-02 00:00:00,0.1008,0.2364
2022-01-02 00:10:00,0.0903,0.3049
2022-01-02 00:20:00,0.1163,0.512
2022-01-02 00:30:00,0.1571,0.675
2022-01-02 00:40:00,0.1944,0.7409
2022-01-02 00:50:00,0.2327,0.8009
2022-01-02 01:00:00,0.2167,0.9167
2022-01-02 01:10:00,0.2082,0.9238
2022-01-02 01:20:00,0.1775,0.9048
2022-01-02 01:30:00,0.1706,0.9295
2022-01-02 01:40:00,0.1683,0.8658
2022-01-02 01:50:00,0.1944,0.8419
2022-01-02 02:00:00,0.1262,0.7971
2022-01-02 02:10:00,0.1397,0.7257
2022-01-02 02:20:00,0.1129,0.6817
2022-01-02 02:30:00,0.1167,0.6689
2022-01-02 02:40:00,0.0905,0.6053
2022-01-02 02:50:00,0.0706,0.5293
2022-01-02 03:00:00,0.0764,0.5961
2022-01-02 03:10:00,0.094,0.5936
2022-01-02 03:20:00,0.0974,0.5758
2022-01-02 03:30:00,0.0702,0.5122
2022-01-02 03:40:00,0.079,0.5352
2022-01-02 03:50:00,0.0294,0.442
2022-01-02 04:00:00,0.0428,0.4449
2022-01-02 04:10:00,0.0188,0.4146
2022-01-02 04:20:00,0.0387,0.3559
2022-01-02 04:30:00,0.0046,0.266
2022-01-02 04:40:00,0.018,0.2102
2022-01-02 04:50:00,0.0061,0.1599
2022-01-02 05:00:00,0.0024,0.113
2022-01-02 05:10:00,-0.0032,0.0609
2022-01-02 05:20:00,-0.0024,0.0259
2022-01-02 05:30:00,-0.0235,-0.0712
2022-01-02 05:40:00,-0.0996,-0.0881
2022-01-02 05:50:00,-0.2081,-0.1331
2022-01-02 06:00:00,-0.1924,-0.1937
2022-01-02 06:10:00,-0.1183,-0.267
2022-01-02 06:20:00,-0.0631,-0.4122
2022-01-02 06:30:00,-0.0812,-0.465
2022-01-02 06:40:00,-0.1314,-0.5155
2022-01-02 06:50:00,-0.1416,-0.5107
2022-01-02 07:00:00,-0.178,-0.5352
2022-01-02 07:10:00,-0.1983,-0.5599
2022-01-02 07:20:00,-0.2398,-0.6587
2022-01-02 07:30:00,-0.1897,-0.5945
2022-01-02 07:40:00,-0.2163,-0.6246
2022-01-02 07:50:00,-0.2175,-0.604
2022-01-02 08:00:00,-0.2162,-0.5907
2022-01-02 08:10:00,-0.2363,-0.5819
2022-01-02 08:20:00,-0.2261,-0.5568
2022-01-02 08:30:00,-0.1687,-0.4792
2022-01-02 08:40:00,-0.1234,-0.4876
2022-01-02 08:50:00,-0.1105,-0.4712
2022-01-02 09:00:00,-0.1062,-0.4291
2022-01-02 09:10:00,-0.1309,-0.442
2022-01-02 09:20:00,-0.1191,-0.4153
2022-01-02 09:30:00,-0.0904,-0.3917
2022-01-02 09:40:00,-0.0697,-0.3277
2022-01-02 09:50:00,-0.0784,-0.2989
2022-01-02 10:00:00,-0.0552,-0.2469
2022-01-02 10:10:00,-0.0465,-0.2283
2022-01-02 10:20:00,-0.0251,-0.1984
2022-01-02 10:30:00,-0.0198,-0.1547
2022-01-02 10:40:00,-0.0271,-0.1322
2022-01-02 10:50:00,0.0174,-0.0791
2022-01-02 11:00:00,0.0379,-0.0223
2022-01-02 11:10:00,0.0085,0.0339
2022-01-02 11:20:00,-0.0088,0.0936
2022-01-02 11:30:00,-0.0289,0.136
2022-01-02 11:40:00,-0.016,0.1984
2022-01-02 11:50:00,-0.0199,0.2643
2022-01-02 12:00:00,0.0271,0.3369
2022-01-02 12:10:00,0.1151,0.3674
2022-01-02 12:20:00,0.1635,0.5031
2022-01-02 12:30:00,0.1687,0.6618
2022-01-02 12:40:00,0.2021,0.7813
2022-01-02 12:50:00,0.2144,0.907
2022-01-02 13:00:00,0.2143,0.9829
2022-01-02 13:10:00,0.2231,1.0148
2022-01-02 13:20:00,0.2214,1.0325
2022-01-02 13:30:00,0.1951,1.0327
2022-01-02 13:40:00,0.1928,1.0505
2022-01-02 13:50:00,0.1888,1.0288
2022-01-02 14:00:00,0.1752,0.9937
2022-01-02 14:10:00,0.1253,0.9266
2022-01-02 14:20:00,0.1457,0.8993
2022-01-02 14:30:00,0.1191,0.8265
2022-01-02 14:40:00,0.0871,0.7892
2022-01-02 14:50:00,0.1141,0.7726
2022-01-02 15:00:00,0.0765,0.6717
2022-01-02 15:10:00,0.0767,0.7058
2022-01-02 15:20:00,0.0767,0.6626
2022-01-02 15:30:00,0.0891,0.6338
2022-01-02 15:40:00,0.0623,0.6028
2022-01-02 15:50:00,0.0875,0.546
2022-01-02 16:00:00,0.055,0.5322
2022-01-02 16:10:00,0.0583,0.4744
2022-01-02 16:20:00,0.0457,0.4205
2022-01-02 16:30:00,0.0236,0.3753
2022-01-02 16:40:00,-0.0065,0.3409
2022-01-02 16:50:00,0.0067,0.2969
2022-01-02 17:00:00,-0.0013,0.245
2022-01-02 17:10:00,-0.0277,0.1728
2022-01-02 17:20:00,-0.0328,0.1216
2022-01-02 17:30:00,-0.0382,0.0859
2022-01-02 17:40:00,-0.0078,0.0206
2022-01-02 17:50:00,-0.1168,-0.0065
2022-01-02 18:00:00,-0.3282,-0.0997
2022-01-02 18:10:00,-0.2274,-0.1399
2022-01-02 18:20:00,-0.15,-0.2587
2022-01-02 18:30:00,-0.1241,-0.3283
2022-01-02 18:40:00,-0.0625,-0.4335
2022-01-02 18:50:00,-0.0617,-0.5173
2022-01-02 19:00:00,-0.0665,-0.5832
2022-01-02 19:10:00,-0.1644,-0.5968
2022-01-02 19:20:00,-0.2269,-0.6102
2022-01-02 19:30:00,-0.2389,-0.6494
2022-01-02 19:40:00,-0.2338,-0.6566
2022-01-02 19:50:00,-0.2584,-0.6527
2022-01-02 20:00:00,-0.2834,-0.6488
2022-01-02 20:10:00,-0.2887,-0.6672
2022-01-02 20:20:00,-0.2995,-0.6602
2022-01-02 20:30:00,-0.2424,-0.6031
2022-01-02 20:40:00,-0.1869,-0.5522
2022-01-02 20:50:00,-0.147,-0.4664
2022-01-02 21:00:00,-0.1465,-0.4508
2022-01-02 21:10:00,-0.1553,-0.4362
2022-01-02 21:20:00,-0.1443,-0.4029
2022-01-02 21:30:00,-0.1515,-0.3885
2022-01-02 21:40:00,-0.162,-0.4241
2022-01-02 21:50:00,-0.1463,-0.4086
2022-01-02 22:00:00,-0.1484,-0.41
2022-01-02 22:10:00,-0.1095,-0.4117
2022-01-02 22:20:00,-0.1385,-0.3785
2022-01-02 22:30:00,-0.1395,-0.3286
2022-01-02 22:40:00,-0.1258,-0.3051
2022-01-02 22:50:00,-0.1136,-0.2515
2022-01-02 23:00:00,-0.102,-0.2239
2022-01-02 23:10:00,-0.0847,-0.1921
2022-01-02 23:20:00,-0.0179,-0.1972
2022-01-02 23:30:00,-0.0694,-0.1146
2022-01-02 23:40:00,-0.0334,-0.0943
2022-01-02 23:50:00,-0.0354,-0.0164
2022-01-03 00:00:00,-0.0184,0.0686
2022-01-03 00:10:00,-0.0508,0.1175
2022-01-03 00:20:00,-0.0105,0.2308
2022-01-03 00:30:00,0.0106,0.3048
2022-01-03 00:40:00,0.0637,0.3848
2022-01-03 00:50:00,0.148,0.4964
2022-01-03 01:00:00,0.1535,0.6203
2022-01-03 01:10:00,0.2021,0.7389
2022-01-03 01:20:00,0.2052,0.829
2022-01-03 01:30:00,0.2369,0.9643
2022-01-03 01:40:00,0.1895,1.0124
2022-01-03 01:50:00,0.2158,1.0705
2022-01-03 02:00:00,0.2102,1.1123
2022-01-03 02:10:00,0.1634,1.0554
2022-01-03 02:20:00,0.1628,1.0282
2022-01-03 02:30:00,0.1731,0.9819
2022-01-03 02:40:00,0.1179,0.9739
2022-01-03 02:50:00,0.1071,0.9258
2022-01-03 03:00:00,0.0852,0.8688
2022-01-03 03:10:00,0.0769,0.8294
2022-01-03 03:20:00,0.083,0.7897
2022-01-03 03:30:00,0.0755,0.7703
2022-01-03 03:40:00,0.0454,0.7015
2022-01-03 03:50:00,0.0509,0.7102
2022-01-03 04:00:00,0.0329,0.6271
2022-01-03 04:10:00,0.069,0.6353
2022-01-03 04:20:00,0.0536,0.6006
2022-01-03 04:30:00,0.0551,0.5523
2022-01-03 04:40:00,0.0325,0.532
2022-01-03 04:50:00,0.0332,0.4748
2022-01-03 05:00:00,0.0284,0.4281
2022-01-03 05:10:00,0.0141,0.3847
2022-01-03 05:20:00,0.0059,0.3379
2022-01-03 05:30:00,-0.0288,0.2695
2022-01-03 05:40:00,-0.0076,0.2299
2022-01-03 05:50:00,-0.0234,0.1583
2022-01-03 06:00:00,-0.0247,0.1154
2022-01-03 06:10:00,-0.0476,0.0295
2022-01-03 06:20:00,-0.0809,0.037
2022-01-03 06:30:00,-0.0767,-0.0141
2022-01-03 06:40:00,-0.1592,-0.0797
2022-01-03 06:50:00,-0.1713,-0.1231
2022-01-03 07:00:00,-0.2078,-0.2486
2022-01-03 07:10:00,-0.0737,-0.45
2022-01-03 07:20:00,-0.0486,-0.5559
2022-01-03 07:30:00,-0.1451,-0.5492
2022-01-03 07:40:00,-0.2312,-0.5839
2022-01-03 07:50:00,-0.2777,-0.6065
2022-01-03 08:00:00,-0.3298,-0.6557
2022-01-03 08:10:00,-0.2829,-0.6967
2022-01-03 08:20:00,-0.2305,-0.7053
2022-01-03 08:30:00,-0.2082,-0.6809
2022-01-03 08:40:00,-0.1916,-0.6347
2022-01-03 08:50:00,-0.2138,-0.6466
2022-01-03 09:00:00,-0.2455,-0.6363
2022-01-03 09:10:00,-0.2499,-0.6217
2022-01-03 09:20:00,-0.261,-0.6301
2022-01-03 09:30:00,-0.2489,-0.5864
2022-01-03 09:40:00,-0.2601,-0.5628
2022-01-03 09:50:00,-0.2567,-0.5633
2022-01-03 10:00:00,-0.2498,-0.5914
2022-01-03 10:10:00,-0.2701,-0.6011
2022-01-03 10:20:00,-0.2404,-0.6071
2022-01-03 10:30:00,-0.2567,-0.6048
2022-01-03 10:40:00,-0.2363,-0.5969
2022-01-03 10:50:00,-0.2077,-0.5586
2022-01-03 11:00:00,-0.194,-0.5731
2022-01-03 11:10:00,-0.1757,-0.5538
2022-01-03 11:20:00,-0.145,-0.5025
2022-01-03 11:30:00,-0.1331,-0.4768
2022-01-03 11:40:00,-0.0886,-0.4473
2022-01-03 11:50:00,-0.0709,-0.3865
2022-01-03 12:00:00,-0.0517,-0.3229
2022-01-03 12:10:00,-0.0594,-0.2869
2022-01-03 12:20:00,-0.027,-0.2264
2022-01-03 12:30:00,-0.0798,-0.1211
2022-01-03 12:40:00,-0.095,-0.0648
2022-01-03 12:50:00,-0.0574,0.077
2022-01-03 13:00:00,-0.0256,0.2818
2022-01-03 13:10:00,-0.0069,0.3609
2022-01-03 13:20:00,0.0251,0.4483
2022-01-03 13:30:00,0.1214,0.5344
2022-01-03 13:40:00,0.1642,0.7226
2022-01-03 13:50:00,0.186,0.8601
2022-01-03 14:00:00,0.1787,0.8943
2022-01-03 14:10:00,0.1691,0.9491
2022-01-03 14:20:00,0.1687,1.008
2022-01-03 14:30:00,0.1877,1.0229
2022-01-03 14:40:00,0.1714,1.0582
