datetime_UTC,water_level
2022-01-01 00:30:00,-0.2127
2022-01-01 01:00:00,-0.1127
2022-01-01 01:30:00,-0.0027
2022-01-01 02:00:00,0.1239
2022-01-01 02:30:00,0.2439
2022-01-01 03:00:00,0.3373
2022-01-01 03:30:00,0.4439
2022-01-01 04:00:00,0.5606
2022-01-01 04:30:00,0.6439
2022-01-01 05:00:00,0.6873
2022-01-01 05:30:00,0.6339
2022-01-01 06:00:00,0.5206
2022-01-01 06:30:00,0.3773
2022-01-01 07:00:00,0.2273
2022-01-01 07:30:00,0.0906
2022-01-01 08:00:00,-0.0394
2022-01-01 08:30:00,-0.1894
2022-01-01 09:00:00,-0.3527
2022-01-01 09:30:00,-0.5261
2022-01-01 10:00:00,-0.7361
2022-01-01 10:30:00,-0.8561
2022-01-01 11:00:00,-0.9361
2022-01-01 11:30:00,-0.9161
2022-01-01 12:00:00,-0.8361
2022-01-01 12:30:00,-0.7161
2022-01-01 13:00:00,-0.6794
2022-01-01 13:30:00,-0.6427
2022-01-01 14:00:00,-0.5494
2022-01-01 14:30:00,-0.3994
2022-01-01 15:00:00,-0.2461
2022-01-01 15:30:00,-0.1194
2022-01-01 16:00:00,-0.0161
2022-01-01 16:30:00,0.1239
2022-01-01 17:00:00,0.2673
2022-01-01 17:30:00,0.3339
2022-01-01 18:00:00,0.3206
2022-01-01 18:30:00,0.2539
2022-01-01 19:00:00,0.0939
2022-01-01 19:30:00,-0.0194
2022-01-01 20:00:00,-0.1261
2022-01-01 20:30:00,-0.2027
2022-01-01 21:00:00,-0.3261
2022-01-01 21:30:00,-0.4727
2022-01-01 22:00:00,-0.6361
2022-01-01 22:30:00,-0.8027
2022-01-01 23:00:00,-0.9161
2022-01-01 23:30:00,-0.9694
2022-01-02 00:00:00,-0.9227
2022-01-02 00:30:00,-0.7594
2022-01-02 01:00:00,-0.5461
2022-01-02 01:30:00,-0.4027
2022-01-02 02:00:00,-0.2561
2022-01-02 02:30:00,-0.0627
2022-01-02 03:00:00,0.1673
2022-01-02 03:30:00,0.3606
2022-01-02 04:00:00,0.5373
2022-01-02 04:30:00,0.6873
2022-01-02 05:00:00,0.8239
2022-01-02 05:30:00,0.9639
2022-01-02 06:00:00,1.0106
2022-01-02 06:30:00,0.9773
2022-01-02 07:00:00,0.8873
2022-01-02 07:30:00,0.7839
