datetime_UTC,water_level_filtered
2022-01-01 00:00:00,-0.1973
2022-01-01 00:15:00,-0.2523
2022-01-01 00:30:00,-0.3073
2022-01-01 00:45:00,-0.3623
2022-01-01 01:00:00,-0.4173
2022-01-01 01:15:00,-0.4148
2022-01-01 01:30:00,-0.4123
2022-01-01 01:45:00,-0.4098
2022-01-01 02:00:00,-0.4073
2022-01-01 02:15:00,-0.3248
2022-01-01 02:30:00,-0.2423
2022-01-01 02:45:00,-0.1598
2022-01-01 03:00:00,-0.0773
2022-01-01 03:15:00,0.0402
2022-01-01 03:30:00,0.1577
2022-01-01 03:45:00,0.2752
2022-01-01 04:00:00,0.3927
2022-01-01 04:15:00,0.4627
2022-01-01 04:30:00,0.5327
2022-01-01 04:45:00,0.6027
2022-01-01 05:00:00,0.6727
2022-01-01 05:15:00,0.7152
2022-01-01 05:30:00,0.7577
2022-01-01 05:45:00,0.8002
2022-01-01 06:00:00,0.8427
2022-01-01 06:15:00,0.8727
2022-01-01 06:30:00,0.9027
2022-01-01 06:45:00,0.9327
2022-01-01 07:00:00,0.9627
2022-01-01 07:15:00,0.9452
2022-01-01 07:30:00,0.9277
2022-01-01 07:45:00,0.9102
2022-01-01 08:00:00,0.8927
2022-01-01 08:15:00,0.8102
2022-01-01 08:30:00,0.7277
2022-01-01 08:45:00,0.6452
2022-01-01 09:00:00,0.5627
2022-01-01 09:15:00,0.4577
2022-01-01 09:30:00,0.3527
2022-01-01 09:45:00,0.2477
2022-01-01 10:00:00,0.1427
2022-01-01 10:15:00,0.0452
2022-01-01 10:30:00,-0.0523
2022-01-01 10:45:00,-0.1498
2022-01-01 11:00:00,-0.2473
2022-01-01 11:15:00,-0.3473
2022-01-01 11:30:00,-0.4473
2022-01-01 11:45:00,-0.5473
2022-01-01 12:00:00,-0.6473
2022-01-01 12:15:00,-0.7198
2022-01-01 12:30:00,-0.7923
2022-01-01 12:45:00,-0.8648
2022-01-01 13:00:00,-0.9373
2022-01-01 13:15:00,-0.9748
2022-01-01 13:30:00,-1.0123
2022-01-01 13:45:00,-1.0498
2022-01-01 14:00:00,-1.0873
2022-01-01 14:15:00,-1.0423
2022-01-01 14:30:00,-0.9973
2022-01-01 14:45:00,-0.9523
2022-01-01 15:00:00,-0.9073
2022-01-01 15:15:00,-0.7698
2022-01-01 15:30:00,-0.6323
2022-01-01 15:45:00,-0.4948
2022-01-01 16:00:00,-0.3573
2022-01-01 16:15:00,-0.2448
2022-01-01 16:30:00,-0.1323
2022-01-01 16:45:00,-0.0198
2022-01-01 17:00:00,0.0927
2022-01-01 17:15:00,0.1452
2022-01-01 17:30:00,0.1977
2022-01-01 17:45:00,0.2502
2022-01-01 18:00:00,0.3027
2022-01-01 18:15:00,0.3602
2022-01-01 18:30:00,0.4177
2022-01-01 18:45:00,0.4752
2022-01-01 19:00:00,0.5327
2022-01-01 19:15:00,0.5877
2022-01-01 19:30:00,0.6427
2022-01-01 19:45:00,0.6977
2022-01-01 20:00:00,0.7527
2022-01-01 20:15:00,0.7427
2022-01-01 20:30:00,0.7327
2022-01-01 20:45:00,0.7227
2022-01-01 21:00:00,0.7127
2022-01-01 21:15:00,0.6352
2022-01-01 21:30:00,0.5577
2022-01-01 21:45:00,0.4802
2022-01-01 22:00:00,0.4027
2022-01-01 22:15:00,0.3202
2022-01-01 22:30:00,0.2377
2022-01-01 22:45:00,0.1552
2022-01-01 23:00:00,0.0727
2022-01-01 23:15:00,-0.0098
2022-01-01 23:30:00,-0.0923
2022-01-01 23:45:00,-0.1748
2022-01-02 00:00:00,-0.2573
2022-01-02 00:15:00,-0.3248
2022-01-02 00:30:00,-0.3923
2022-01-02 00:45:00,-0.4598
2022-01-02 01:00:00,-0.5273
2022-01-02 01:15:00,-0.5473
2022-01-02 01:30:00,-0.5673
2022-01-02 01:45:00,-0.5873
2022-01-02 02:00:00,-0.6073
2022-01-02 02:15:00,-0.5423
2022-01-02 02:30:00,-0.4773
2022-01-02 02:45:00,-0.4123
2022-01-02 03:00:00,-0.3473
2022-01-02 03:15:00,-0.1823
2022-01-02 03:30:00,-0.0173
2022-01-02 03:45:00,0.1477
2022-01-02 04:00:00,0.3127
2022-01-02 04:15:00,0.4502
2022-01-02 04:30:00,0.5877
2022-01-02 04:45:00,0.7252
2022-01-02 05:00:00,0.8627
2022-01-02 05:15:00,0.9277
2022-01-02 05:30:00,0.9927
2022-01-02 05:45:00,1.0577
2022-01-02 06:00:00,1.1227
2022-01-02 06:15:00,1.1927
2022-01-02 06:30:00,1.2627
2022-01-02 06:45:00,1.3327
2022-01-02 07:00:00,1.4027
2022-01-02 07:15:00,1.4602
2022-01-02 07:30:00,1.5177
2022-01-02 07:45:00,1.5752
2022-01-02 08:00:00,1.6327
2022-01-02 08:15:00,1.6177
2022-01-02 08:30:00,1.6027
2022-01-02 08:45:00,1.5877
2022-01-02 09:00:00,1.5727
2022-01-02 09:15:00,1.4827
2022-01-02 09:30:00,1.3927
2022-01-02 09:45:00,1.3027
2022-01-02 10:00:00,1.2127
2022-01-02 10:15:00,1.1177
2022-01-02 10:30:00,1.0227
2022-01-02 10:45:00,0.9277
2022-01-02 11:00:00,0.8327
2022-01-02 11:15:00,0.7402
2022-01-02 11:30:00,0.6477
2022-01-02 11:45:00,0.5552
2022-01-02 12:00:00,0.4627
2022-01-02 12:15:00,0.3602
2022-01-02 12:30:00,0.2577
2022-01-02 12:45:00,0.1552
2022-01-02 13:00:00,0.0527
2022-01-02 13:15:00,-0.0223
2022-01-02 13:30:00,-0.0973
2022-01-02 13:45:00,-0.1723
2022-01-02 14:00:00,-0.2473
2022-01-02 14:15:00,-0.2798
2022-01-02 14:30:00,-0.3123
2022-01-02 14:45:00,-0.3448
2022-01-02 15:00:00,-0.3773
2022-01-02 15:15:00,-0.3073
2022-01-02 15:30:00,-0.2373
2022-01-02 15:45:00,-0.1673
2022-01-02 16:00:00,-0.0973
2022-01-02 16:15:00,0.0627
2022-01-02 16:30:00,0.2227
2022-01-02 16:45:00,0.3827
2022-01-02 17:00:00,0.5427
2022-01-02 17:15:00,0.6452
2022-01-02 17:30:00,0.7477
2022-01-02 17:45:00,0.8502
2022-01-02 18:00:00,0.9527
2022-01-02 18:15:00,0.9952
2022-01-02 18:30:00,1.0377
2022-01-02 18:45:00,1.0802
2022-01-02 19:00:00,1.1227
2022-01-02 19:15:00,1.1702
2022-01-02 19:30:00,1.2177
2022-01-02 19:45:00,1.2652
2022-01-02 20:00:00,1.3127
2022-01-02 20:15:00,1.3402
2022-01-02 20:30:00,1.3677
2022-01-02 20:45:00,1.3952
2022-01-02 21:00:00,1.4227
2022-01-02 21:15:00,1.3802
2022-01-02 21:30:00,1.3377
2022-01-02 21:45:00,1.2952
2022-01-02 22:00:00,1.2527
2022-01-02 22:15:00,1.1427
2022-01-02 22:30:00,1.0327
2022-01-02 22:45:00,0.9227
2022-01-02 23:00:00,0.8127
2022-01-02 23:15:00,0.7002
2022-01-02 23:30:00,0.5877
2022-01-02 23:45:00,0.4752
2022-01-03 00:00:00,0.3627
2022-01-03 00:15:00,0.2577
2022-01-03 00:30:00,0.1527
2022-01-03 00:45:00,0.0477
2022-01-03 01:00:00,-0.0573
2022-01-03 01:15:00,-0.1473
2022-01-03 01:30:00,-0.2373
2022-01-03 01:45:00,-0.3273
2022-01-03 02:00:00,-0.4173
2022-01-03 02:15:00,-0.4723
2022-01-03 02:30:00,-0.5273
2022-01-03 02:45:00,-0.5823
2022-01-03 03:00:00,-0.6373
2022-01-03 03:15:00,-0.6248
2022-01-03 03:30:00,-0.6123
