datetime_UTC,water_level
2022-09-15 00:17:08.571429,0.1647
2022-09-15 00:34:17.142858,0.0117
2022-09-15 00:51:25.714287,-0.1753
2022-09-15 01:08:34.285716,-0.3113
2022-09-15 01:25:42.857145,-0.4733
2022-09-15 01:42:51.428574,-0.6493
2022-09-15 02:00:00.000003,-0.7993
2022-09-15 02:17:08.571432,-0.9443
2022-09-15 02:34:17.142861,-1.0883
2022-09-15 02:51:25.714290,-1.2333
2022-09-15 03:08:34.285719,-1.3563
2022-09-15 03:25:42.857148,-1.4723
2022-09-15 03:42:51.428577,-1.5983
2022-09-15 04:00:00.000006,-1.6743
2022-09-15 04:17:08.571435,-1.7733
2022-09-15 04:34:17.142864,-1.8493
2022-09-15 04:51:25.714293,-1.8853
2022-09-15 05:08:34.285722,-1.9303
2022-09-15 05:25:42.857151,-1.9473
2022-09-15 05:42:51.428580,-1.9273
2022-09-15 06:00:00.000009,-1.9023
2022-09-15 06:17:08.571438,-1.8673
2022-09-15 06:34:17.142867,-1.8323
2022-09-15 06:51:25.714296,-1.7563
2022-09-15 07:08:34.285725,-1.6673
2022-09-15 07:25:42.857154,-1.5823
2022-09-15 07:42:51.428583,-1.4703
2022-09-15 08:00:00.000012,-1.3513
2022-09-15 08:17:08.571441,-1.2023
2022-09-15 08:34:17.142870,-1.1253
2022-09-15 08:51:25.714299,-0.9703
2022-09-15 09:08:34.285728,-0.7963
2022-09-15 09:25:42.857157,-0.6833
2022-09-15 09:42:51.428586,-0.5373
2022-09-15 10:00:00.000015,-0.3503
2022-09-15 10:17:08.571444,-0.1903
2022-09-15 10:34:17.142873,-0.0323
2022-09-15 10:51:25.714302,0.1447
2022-09-15 11:08:34.285731,0.3187
2022-09-15 11:25:42.857160,0.4127
2022-09-15 11:42:51.428589,0.5837
2022-09-15 12:00:00.000018,0.6837
2022-09-15 12:17:08.571447,0.8047
2022-09-15 12:34:17.142876,0.9267
2022-09-15 12:51:25.714305,1.0247
2022-09-15 13:08:34.285734,1.1557
2022-09-15 13:25:42.857163,1.2517
2022-09-15 13:42:51.428592,1.3567
2022-09-15 14:00:00.000021,1.4107
2022-09-15 14:17:08.571450,1.5367
2022-09-15 14:34:17.142879,1.5847
2022-09-15 14:51:25.714308,1.6177
2022-09-15 15:08:34.285737,1.6757
2022-09-15 15:25:42.857166,1.7217
2022-09-15 15:42:51.428595,1.7487
2022-09-15 16:00:00.000024,1.7587
2022-09-15 16:17:08.571453,1.7147
2022-09-15 16:34:17.142882,1.7207
2022-09-15 16:51:25.714311,1.6587
2022-09-15 17:08:34.285740,1.6057
2022-09-15 17:25:42.857169,1.5457
2022-09-15 17:42:51.428598,1.4837
2022-09-15 18:00:00.000027,1.3957
2022-09-15 18:17:08.571456,1.3127
2022-09-15 18:34:17.142885,1.2057
2022-09-15 18:51:25.714314,1.0977
2022-09-15 19:08:34.285743,0.9817
2022-09-15 19:25:42.857172,0.8597
2022-09-15 19:42:51.428601,0.7497
2022-09-15 20:00:00.000030,0.6217
2022-09-15 20:17:08.571459,0.4617
2022-09-15 20:34:17.142888,0.3577
2022-09-15 20:51:25.714317,0.2497
2022-09-15 21:08:34.285746,0.0937
2022-09-15 21:25:42.857175,-0.0563
2022-09-15 21:42:51.428604,-0.1723
2022-09-15 22:00:00.000033,-0.3093
2022-09-15 22:17:08.571462,-0.3953
2022-09-15 22:34:17.142891,-0.5423
2022-09-15 22:51:25.714320,-0.6643
2022-09-15 23:08:34.285749,-0.7853
2022-09-15 23:25:42.857178,-0.9143
2022-09-15 23:42:51.428607,-1.0263
2022-09-16 00:00:00.000036,-2.3267
2022-09-16 00:17:08.571465,-1.2853
2022-09-16 00:34:17.142894,-2.7607
2022-09-16 00:51:25.714323,-2.8957
2022-09-16 01:08:34.285752,-1.4953
2022-09-16 01:25:42.857181,-3.0077
2022-09-16 01:42:51.428610,-2.9467
2022-09-16 02:00:00.000039,-2.7197
2022-09-16 02:17:08.571468,-1.2463
2022-09-16 02:34:17.142897,-2.2707
2022-09-16 02:51:25.714326,-1.8007
2022-09-16 03:08:34.285755,-0.7093
2022-09-16 03:25:42.857184,-1.0427
2022-09-16 03:42:51.428613,-0.4487
2022-09-16 04:00:00.000042,0.0913
2022-09-16 04:17:08.571471,0.3077
2022-09-16 04:34:17.142900,1.0533
2022-09-16 04:51:25.714329,1.5913
2022-09-16 05:08:34.285758,1.0287
2022-09-16 05:25:42.857187,2.3413
2022-09-16 05:42:51.428616,2.8183
2022-09-16 06:00:00.000045,3.1373
2022-09-16 06:17:08.571474,1.7627
2022-09-16 06:34:17.142903,3.6943
2022-09-16 06:51:25.714332,3.8513
2022-09-16 07:08:34.285761,1.9907
2022-09-16 07:25:42.857190,4.0703
2022-09-16 07:42:51.428619,3.9053
2022-09-16 08:00:00.000048,3.8863
2022-09-16 08:17:08.571477,1.9087
2022-09-16 08:34:17.142906,3.4673
2022-09-16 08:51:25.714335,3.0383
2022-09-16 09:08:34.285764,1.4057
2022-09-16 09:25:42.857193,2.4863
2022-09-16 09:42:51.428622,2.0263
2022-09-16 10:00:00.000051,1.5443
2022-09-16 10:17:08.571480,0.6637
2022-09-16 10:34:17.142909,0.8653
2022-09-16 10:51:25.714338,0.3693
2022-09-16 11:08:34.285767,0.0437
2022-09-16 11:25:42.857196,-0.3857
2022-09-16 11:42:51.428625,-0.8397
2022-09-16 12:00:00.000054,-1.2427
2022-09-16 12:17:08.571483,-0.7343
2022-09-16 12:34:17.142912,-1.8767
2022-09-16 12:51:25.714341,-2.1447
2022-09-16 13:08:34.285770,-1.0933
2022-09-16 13:25:42.857199,-2.3407
2022-09-16 13:42:51.428628,-2.4117
2022-09-16 14:00:00.000057,-2.3137
2022-09-16 14:17:08.571486,-1.1063
2022-09-16 14:34:17.142915,-2.1357
2022-09-16 14:51:25.714344,-1.7907
2022-09-16 15:08:34.285773,-0.7593
2022-09-16 15:25:42.857202,-1.3557
2022-09-16 15:42:51.428631,-0.9687
2022-09-16 16:00:00.000060,-0.5177
2022-09-16 16:17:08.571489,-0.0743
2022-09-16 16:34:17.142918,0.1963
2022-09-16 16:51:25.714347,0.7973
2022-09-16 17:08:34.285776,0.5087
2022-09-16 17:25:42.857205,1.3883
2022-09-16 17:42:51.428634,1.6733
2022-09-16 18:00:00.000063,2.1143
2022-09-16 18:17:08.571492,1.1877
2022-09-16 18:34:17.142921,2.6413
2022-09-16 18:51:25.714350,2.9043
2022-09-16 19:08:34.285779,1.4847
2022-09-16 19:25:42.857208,3.1723
2022-09-16 19:42:51.428637,3.2093
2022-09-16 20:00:00.000066,3.2703
2022-09-16 20:17:08.571495,1.5617
2022-09-16 20:34:17.142924,3.0823
2022-09-16 20:51:25.714353,2.8283
2022-09-16 21:08:34.285782,1.3187
2022-09-16 21:25:42.857211,2.4053
2022-09-16 21:42:51.428640,2.0383
2022-09-16 22:00:00.000069,1.5113
2022-09-16 22:17:08.571498,0.7037
2022-09-16 22:34:17.142927,0.8983
2022-09-16 22:51:25.714356,0.4093
2022-09-16 23:08:34.285785,0.1107
2022-09-16 23:25:42.857214,-0.1867
2022-09-16 23:42:51.428643,-0.6947
2022-09-17 00:00:00.000072,-1.0857
2022-09-17 00:17:08.571501,-0.7723
2022-09-17 00:34:17.142930,-1.6917
2022-09-17 00:51:25.714359,-1.9997
2022-09-17 01:08:34.285788,-1.0653
2022-09-17 01:25:42.857217,-2.3127
2022-09-17 01:42:51.428646,-2.3687
2022-09-17 02:00:00.000075,-2.4007
2022-09-17 02:17:08.571504,-1.2103
2022-09-17 02:34:17.142933,-2.3817
2022-09-17 02:51:25.714362,-2.1257
2022-09-17 03:08:34.285791,-1.0393
2022-09-17 03:25:42.857220,-1.7877
2022-09-17 03:42:51.428649,-1.3677
2022-09-17 04:00:00.000078,-1.0697
2022-09-17 04:17:08.571507,-0.4333
2022-09-17 04:34:17.142936,-0.5147
2022-09-17 04:51:25.714365,0.0403
2022-09-17 05:08:34.285794,0.1637
2022-09-17 05:25:42.857223,0.5963
2022-09-17 05:42:51.428652,1.0203
2022-09-17 06:00:00.000081,1.3623
2022-09-17 06:17:08.571510,0.8097
2022-09-17 06:34:17.142939,1.7603
2022-09-17 06:51:25.714368,2.2723
2022-09-17 07:08:34.285797,1.2297
2022-09-17 07:25:42.857226,2.6843
2022-09-17 07:42:51.428655,2.7313
2022-09-17 08:00:00.000084,2.9983
2022-09-17 08:17:08.571513,1.5177
2022-09-17 08:34:17.142942,2.7243
2022-09-17 08:51:25.714371,2.5873
2022-09-17 09:08:34.285800,1.2817
2022-09-17 09:25:42.857229,2.3513
2022-09-17 09:42:51.428658,2.0673
2022-09-17 10:00:00.000087,1.7053
2022-09-17 10:17:08.571516,0.6977
2022-09-17 10:34:17.142945,1.0473
2022-09-17 10:51:25.714374,0.7583
2022-09-17 11:08:34.285803,0.2167
2022-09-17 11:25:42.857232,0.1413
2022-09-17 11:42:51.428661,-0.3417
2022-09-17 12:00:00.000090,-0.5917
2022-09-17 12:17:08.571519,-0.5053
2022-09-17 12:34:17.142948,-1.2527
2022-09-17 12:51:25.714377,-1.5047
2022-09-17 13:08:34.285806,-0.9023
2022-09-17 13:25:42.857235,-1.9727
2022-09-17 13:42:51.428664,-2.1267
2022-09-17 14:00:00.000093,-2.2187
2022-09-17 14:17:08.571522,-1.1593
2022-09-17 14:34:17.142951,-2.3237
2022-09-17 14:51:25.714380,-2.2927
2022-09-17 15:08:34.285809,-1.0703
2022-09-17 15:25:42.857238,-2.0267
2022-09-17 15:42:51.428667,-1.9097
2022-09-17 16:00:00.000096,-1.6237
2022-09-17 16:17:08.571525,-0.6893
2022-09-17 16:34:17.142954,-1.1257
2022-09-17 16:51:25.714383,-0.8057
2022-09-17 17:08:34.285812,-0.2823
2022-09-17 17:25:42.857241,-0.1977
2022-09-17 17:42:51.428670,0.1913
2022-09-17 18:00:00.000099,0.5003
2022-09-17 18:17:08.571528,0.3337
2022-09-17 18:34:17.142957,0.9633
2022-09-17 18:51:25.714386,1.3083
2022-09-17 19:08:34.285815,0.6887
2022-09-17 19:25:42.857244,1.5833
2022-09-17 19:42:51.428673,1.9303
2022-09-17 20:00:00.000102,2.0823
2022-09-17 20:17:08.571531,1.1267
2022-09-17 20:34:17.142960,2.2513
2022-09-17 20:51:25.714389,2.2233
2022-09-17 21:08:34.285818,1.0707
2022-09-17 21:25:42.857247,2.0593
2022-09-17 21:42:51.428676,1.9503
2022-09-17 22:00:00.000105,1.6573
2022-09-17 22:17:08.571534,0.7027
2022-09-17 22:34:17.142963,1.1613
2022-09-17 22:51:25.714392,0.8993
2022-09-17 23:08:34.285821,0.2617
2022-09-17 23:25:42.857250,0.3283
2022-09-17 23:42:51.428679,-0.0277
2022-09-18 00:00:00.000108,-0.3547
2022-09-18 00:17:08.571537,-0.3463
2022-09-18 00:34:17.142966,-0.8467
2022-09-18 00:51:25.714395,-1.2357
2022-09-18 01:08:34.285824,-0.7473
2022-09-18 01:25:42.857253,-1.6927
2022-09-18 01:42:51.428682,-1.8967
2022-09-18 02:00:00.000111,-2.0367
2022-09-18 02:17:08.571540,-1.0563
2022-09-18 02:34:17.142969,-2.1417
2022-09-18 02:51:25.714398,-2.1227
2022-09-18 03:08:34.285827,-1.1003
2022-09-18 03:25:42.857256,-2.1467
2022-09-18 03:42:51.428685,-1.9457
2022-09-18 04:00:00.000114,-1.8597
2022-09-18 04:17:08.571543,-0.8633
2022-09-18 04:34:17.142972,-1.4117
2022-09-18 04:51:25.714401,-1.0857
2022-09-18 05:08:34.285830,-0.4853
2022-09-18 05:25:42.857259,-0.6687
2022-09-18 05:42:51.428688,-0.3167
2022-09-18 06:00:00.000117,0.0653
2022-09-18 06:17:08.571546,0.1117
2022-09-18 06:34:17.142975,0.5793
2022-09-18 06:51:25.714404,0.8933
2022-09-18 07:08:34.285833,0.5107
2022-09-18 07:25:42.857262,1.3783
2022-09-18 07:42:51.428691,1.6643
2022-09-18 08:00:00.000120,1.9223
2022-09-18 08:17:08.571549,1.0047
2022-09-18 08:34:17.142978,2.1363
2022-09-18 08:51:25.714407,2.2343
2022-09-18 09:08:34.285836,1.1087
2022-09-18 09:25:42.857265,2.2023
2022-09-18 09:42:51.428694,2.1203
2022-09-18 10:00:00.000123,2.0103
2022-09-18 10:17:08.571552,0.8317
2022-09-18 10:34:17.142981,1.6343
2022-09-18 10:51:25.714410,1.4433
2022-09-18 11:08:34.285839,0.6157
2022-09-18 11:25:42.857268,1.0063
2022-09-18 11:42:51.428697,0.7133
2022-09-18 12:00:00.000126,0.4373
2022-09-18 12:17:08.571555,0.1007
2022-09-18 12:34:17.142984,-0.0847
2022-09-18 12:51:25.714413,-0.3527
